系统时间,已用内存(MB),CPU使用率(%),磁盘读(KB/s),磁盘写(KB/s),文件描述符,Socket描述符,进程数
2026-06-18 08:35:53,331,3,0,0,960,485,98
2026-06-18 08:36:52,332,4,0,0,960,485,97
2026-06-18 08:36:59,329,3,0,21,960,485,97
2026-06-18 08:37:07,329,1,0,0,960,485,97
2026-06-18 08:37:14,329,2,0,17,960,485,97
2026-06-18 08:37:21,329,2,0,0,960,485,97
2026-06-18 08:37:28,329,0,0,0,960,485,97
2026-06-18 08:37:35,329,0,0,4,960,485,97
2026-06-18 08:37:42,329,0,0,0,960,485,97
2026-06-18 08:37:49,329,0,0,0,960,485,97
2026-06-18 08:37:56,329,0,0,0,960,485,97
2026-06-18 08:38:03,331,1,0,0,1056,487,99
2026-06-18 08:38:10,334,0,0,0,1120,489,101
2026-06-18 08:38:17,334,0,0,0,1120,489,101
2026-06-18 08:38:24,337,0,0,0,1216,491,103
2026-06-18 08:38:31,337,0,0,0,1216,491,103
2026-06-18 08:38:38,337,0,0,0,1216,491,103
2026-06-18 08:38:45,339,0,0,0,1312,493,105
2026-06-18 08:38:52,339,0,0,0,1312,493,105
2026-06-18 08:38:59,339,0,0,0,1312,493,105
2026-06-18 08:39:06,342,4,0,0,1408,495,108
2026-06-18 08:39:13,342,0,0,0,1408,495,108
2026-06-18 08:39:20,342,0,0,0,1408,495,108
2026-06-18 08:39:27,342,0,0,0,1408,495,108
2026-06-18 08:39:34,342,0,0,4,1408,495,108
2026-06-18 08:39:41,342,0,0,0,1408,495,108
2026-06-18 08:39:48,342,0,0,0,1408,495,108
2026-06-18 08:39:55,342,0,0,0,1408,495,108
2026-06-18 08:40:02,342,0,0,0,1408,495,108
2026-06-18 08:40:09,342,1,0,0,1408,495,108
2026-06-18 08:40:16,342,0,0,0,1408,495,108
2026-06-18 08:40:23,342,0,0,0,1408,495,108
2026-06-18 08:40:30,342,0,0,0,1408,495,108
2026-06-18 08:40:37,342,0,0,0,1408,495,108
2026-06-18 08:40:44,342,0,0,0,1408,495,108
2026-06-18 08:40:51,342,0,0,0,1408,495,108
2026-06-18 08:40:58,342,0,0,0,1408,495,108
2026-06-18 08:41:05,342,0,0,0,1408,495,108
2026-06-18 08:41:12,342,0,0,0,1408,495,108
2026-06-18 08:41:19,342,0,0,0,1408,495,108
2026-06-18 08:41:26,342,0,0,0,1408,495,108
2026-06-18 08:41:33,325,0,0,0,800,481,95
2026-06-18 08:41:41,325,0,0,0,800,481,95
2026-06-18 08:41:48,326,0,0,0,800,481,95
2026-06-18 08:41:55,326,1,0,0,800,481,95
2026-06-18 08:42:02,328,0,0,28,896,483,97
2026-06-18 08:42:09,328,0,0,0,896,483,97
2026-06-18 08:42:16,328,1,0,21,960,485,99
2026-06-18 08:42:23,332,0,0,0,1056,487,101
2026-06-18 08:42:30,332,0,0,0,1056,487,101
2026-06-18 08:42:37,332,1,0,0,1056,487,101
2026-06-18 08:42:44,332,0,0,0,1056,487,101
2026-06-18 08:42:51,332,0,0,0,1056,487,101
2026-06-18 08:42:58,332,1,0,0,1056,487,101
2026-06-18 08:43:05,332,0,0,26,1056,487,101
2026-06-18 08:43:12,332,0,0,0,1056,487,101
2026-06-18 08:43:19,332,1,0,0,1056,487,101
2026-06-18 08:43:26,332,0,0,0,1056,487,101
2026-06-18 08:43:33,332,0,0,0,1056,487,101
2026-06-18 08:43:40,332,0,0,0,1056,487,101
2026-06-18 08:43:47,332,1,0,0,1056,487,101
2026-06-18 08:43:54,332,0,0,0,1056,487,101
2026-06-18 08:44:01,332,0,0,0,1056,487,101
2026-06-18 08:44:08,332,0,0,0,1056,487,100
2026-06-18 08:44:15,333,0,0,0,1056,487,100
