系统时间,已用内存(MB),CPU使用率(%),磁盘读(KB/s),磁盘写(KB/s)
2026-07-07 16:44:30,13996.68,7,30,0
2026-07-07 16:44:34,13972.56,9,250,0
2026-07-07 17:08:55,14131.53,2,0,642
2026-07-07 17:09:03,14141.38,4,0,0
2026-07-08 09:03:39,13901.61,3,0,0
2026-07-08 09:03:45,13901.24,2,0,0
2026-07-08 09:03:50,13932.59,1,0,0
2026-07-08 09:03:55,13930.56,2,0,318
2026-07-08 09:04:01,13928.75,0,0,0
2026-07-08 09:04:06,13925.32,4,0,0
2026-07-08 09:04:12,14005.83,1,0,0
2026-07-08 09:04:17,13941.06,1,0,0
2026-07-08 09:04:23,13931.59,8,0,0
2026-07-08 09:04:28,13917.55,1,0,0
2026-07-08 09:04:33,13899.42,7,0,126
2026-07-08 09:04:39,13900.38,4,0,0
2026-07-08 09:04:44,13917.15,3,0,0
2026-07-08 09:04:50,13897.92,5,0,598
2026-07-08 09:04:55,13895.68,3,0,0
2026-07-08 09:05:01,13911.6,5,0,0
2026-07-08 09:05:06,13916.23,5,0,0
2026-07-08 09:05:11,13903.29,5,0,1256
2026-07-08 09:05:17,13899.6,3,0,0
2026-07-08 09:05:22,13902.53,4,0,501
2026-07-08 09:05:28,13945.36,1,0,0
2026-07-08 09:05:33,13949.42,7,0,287
2026-07-08 09:05:38,13957.99,2,0,0
2026-07-08 09:05:44,13959.27,11,0,0
2026-07-08 09:05:49,13958.24,7,0,253
2026-07-08 09:05:55,13962.84,8,0,106
2026-07-08 09:06:00,13957.61,3,0,235
2026-07-08 09:06:06,13970.66,2,0,0
2026-07-08 09:06:11,13969.56,1,0,0
2026-07-08 09:06:16,13969.32,4,0,0
2026-07-08 09:06:22,13990.81,6,0,722
2026-07-08 09:06:27,13988.28,3,0,0
2026-07-08 09:06:33,14013.13,3,0,0
2026-07-08 09:06:38,13991.82,4,0,221
2026-07-08 09:06:44,13980.4,6,0,966
2026-07-08 09:06:49,13993.82,3,0,322
2026-07-08 09:06:54,13984.96,0,0,92
2026-07-08 09:07:00,13993.56,8,0,35
2026-07-08 09:07:05,13975.28,0,0,16
2026-07-08 09:07:11,13984.8,1,0,65
2026-07-08 09:07:16,13989.21,1,0,33
2026-07-08 09:07:21,13978.09,1,0,284
2026-07-08 09:20:15,14089.48,7,0,332
2026-07-08 09:20:20,14096.8,4,0,0
2026-07-08 09:20:25,14039.38,0,0,295
2026-07-08 09:20:31,14045.88,2,47,179
2026-07-08 09:27:27,14008.84,4,0,0
